#         t          x          y          z         vx         vy         vz
      0.000    -99.050   -119.630   -127.890    -26.860    174.690     90.660
      0.100   -101.366   -101.752   -118.368    -19.462    182.862     99.786
      0.200   -102.848    -83.046   -107.873    -10.184    191.258    110.109
      0.300   -103.278    -63.502    -96.276      1.595    199.633    121.835
      0.400   -102.362    -43.146    -83.427     16.730    207.482    135.140
      0.500    -99.708    -22.082    -69.167     36.336    213.811    150.058
      0.600    -94.808     -0.553    -53.356     61.665    216.758    166.173
      0.700    -87.052     20.944    -35.946     93.450    213.194    182.016
      0.800    -75.872     41.560    -17.130    130.160    199.111    194.306
      0.900    -61.068     60.142      2.512    165.929    172.546    198.531
      1.000    -43.146     75.666     22.032    192.501    137.918    191.879
      1.100    -23.191     87.722     40.540    206.594    103.206    178.281
      1.200     -2.325     96.548     57.562    210.732     73.325    162.159
      1.300     18.650    102.681     72.985    208.765     49.325    146.286
      1.400     39.266    106.670     86.888    203.549     30.467    131.784
      1.500     59.282    108.976     99.423    196.777     15.648    118.907
      1.600     78.589    109.953    110.746    189.375      3.895    107.570
      1.700     97.150    109.871    121.004    181.831     -5.541     97.579
      1.800    114.961    108.933    130.319    174.394    -13.213     88.734
      1.900    132.040    107.297    138.799    167.186    -19.523     80.854
      2.000    148.412    105.082    146.531    160.260    -24.768     73.785
      2.100    164.107    102.385    153.590    153.634    -29.167     67.403
      2.200    179.154     99.283    160.040    147.304    -32.886     61.603
      2.300    193.582     95.836    165.936    141.258    -36.050     56.302
      2.400    207.419     92.095    171.322    135.480    -38.758     51.431
      2.500    220.690     88.103    176.240    129.951    -41.086     46.931
      2.600    233.420     83.894    180.725    124.651    -43.093     42.756
      2.700    245.631     79.498    184.806    119.564    -44.828     38.865
      2.800    257.343     74.940    188.510    114.671    -46.331     35.226
      2.900    268.574     70.242    191.862    109.957    -47.632     31.809
      3.000    279.343     65.423    194.882    105.408    -48.758     28.592
      3.100    289.663     60.498    197.589    101.010    -49.732     25.552
      3.200    299.551     55.483    200.001     96.750    -50.570     22.672
      3.300    309.020     50.390    202.131     92.619    -51.289     19.937
      3.400    318.081     45.231    203.994     88.605    -51.901     17.332
      3.500    326.746     40.015    205.603     84.699    -52.417     14.847
      3.600    335.026     34.752    206.969     80.894    -52.847     12.470
